VarName,Centroid_i,weight,Mean,Std
am,3,0.00434,0.09,0.03
am,4,0.02384,0.02,0
am,5,0.04376,0.04,0.01
am,6,0.90517,0,0
an,1,0.05499,1,0.01
an,2,0.923,0,0
an,3,0.00436,0.05,0.02
an,4,0.00602,0.52,0.23
an,5,0.00285,0.13,0.05
an,6,0.00878,0.01,0.01
ao,1,0.05613,1,0.01
ao,2,0.93167,0,0
ao,3,0.00666,0.01,0.01
ao,4,0.00086,0.06,0.03
ao,5,0.00467,0.55,0.22
ap,1,0.82015,0,0
ap,2,0.0281,0.03,0.01
ap,3,0.00182,0.06,0.03
ap,4,0.12936,1,0
ap,5,0.00487,0.41,0.16
ap,6,0.00428,0.15,0.06
ap,7,0.00815,0.92,0.05
ap,8,0.00327,0.7,0.12
a,1,0.00348,280.67,15.52
a,2,0.01479,4.42,6.98
a,3,0.00014,165.88,116.79
a,4,0.00005,267.19,187.48
a,5,0.00087,61.93,49.42
a,6,0.97705,0.02,0.76
a,7,0.00121,851.04,79.24
a,8,0.00242,6493.93,5112.44
