VarName,Centroid_i,weight,Mean,Std
V9,3,0.13105,-0.08,1.14
V9,4,0.07866,0.88,2.07
V9,5,0.13195,-0.07,1.16
V9,6,0.13351,-0.05,1.17
V9,7,0.12822,-0.08,0.97
V9,8,0.13168,-0.05,0.75
V10,1,0.17514,0,0.98
V10,2,0.1652,-0.21,0.34
V10,3,0.19461,0.28,0.99
V10,4,0.02914,1.94,4.52
V10,5,0.14492,-0.22,0.61
V10,6,0.14522,-0.2,0.69
V10,7,0.14577,-0.23,0.51
V11,1,0.22427,-0.02,0.98
V11,2,0.2228,-0.01,0.98
V11,3,0.10834,0.5,1.51
V11,4,0.22017,0,0.98
V11,5,0.22443,-0.04,0.97
V12,1,0.16737,0.27,0.6
V12,2,0.1557,-0.67,1.01
V12,3,0.17669,0.35,0.56
V12,4,0.16147,0.22,0.62
V12,5,0.16163,-1.09,1.71
V12,6,0.17715,0.34,0.57
V13,1,0.33294,0,1
V13,2,0.33375,0,0.99
V13,3,0.33331,0,1
V14,1,0.1933,-0.09,1.2
V14,2,0.17422,0.11,0.37
V14,3,0.14756,0.05,0.69
V14,4,0.02952,-1.33,3.24
V14,5,0.14845,0.05,0.71
V14,6,0.15179,0.08,0.85
V14,7,0.15516,0.07,0.47
V15,1,0.14605,0.24,0.74
V15,2,0.14752,0.3,0.7
V15,3,0.14132,0.16,0.78
V15,4,0.14543,-0.47,1.12
V15,5,0.14207,-0.32,1.04
V15,6,0.13904,0.07,0.84
V15,7,0.13857,0.04,0.85
V16,1,0.14829,0.08,0.78
V16,2,0.14493,0.06,0.8
V16,3,0.14818,0.1,0.74
V16,4,0.16432,-0.43,1.01
V16,5,0.08674,-0.59,1.69
V16,6,0.15016,0.12,0.69
V16,7,0.15738,0.15,0.57
V17,1,0.2021,-0.1,0.56
V17,2,0.19487,0.37,0.64
V17,3,0.17042,0.81,1.03
V17,4,0.00389,-2.8,7.35
V17,5,0.20506,-0.14,0.54
V17,6,0.22366,-0.27,0.48
V18,1,0.15985,0.05,0.82
V18,2,0.15957,-0.01,0.66
V18,3,0.16916,0.19,1.01
V18,4,0.17164,-0.23,1.34
V18,5,0.16925,-0.05,0.53
V18,6,0.17053,-0.05,0.52
V19,1,0.09618,-0.07,0.79
V19,2,0.09411,-0.17,0.9
V19,3,0.099,0.05,0.57
V19,4,0.09836,0.31,1.35
V19,5,0.09787,0.03,0.64
V19,6,0.10582,0.04,0.48
V19,7,0.09669,-0.16,0.97
V19,8,0.10957,0.04,0.45
V19,9,0.09486,-0.14,1.01
V19,10,0.10755,0.04,0.47
V20,1,0.12941,-0.04,0.28
V20,2,0.14938,-0.1,0.14
V20,3,0.13468,-0.08,0.18
V20,4,0.15506,-0.11,0.13
V20,5,0.13196,-0.08,0.2
V20,6,0.13759,0.04,0.39
V20,7,0.01594,0.15,4.89
V20,8,0.14597,0.35,1.1
V21,1,0.31634,-0.05,0.24
V21,2,0.15655,0.1,0.29
V21,3,0.01468,1.06,5.19
V21,4,0.2761,-0.03,0.25
V21,5,0.12637,0.15,0.34
V21,6,0.10996,0.04,1.17
V22,1,0.31026,0.01,0.69
V22,2,0.07144,-0.33,1.47
V22,3,0.30961,0.01,0.69
V22,4,0.30869,0.01,0.69
V23,1,0.13621,-0.01,0.21
V23,2,0.08059,0.17,0.98
V23,3,0.14834,-0.02,0.17
V23,4,0.1455,-0.02,0.18
V23,5,0.11704,0,0.27
V23,6,0.1401,-0.01,0.2
V23,7,0.09471,-0.03,0.42
V23,8,0.00945,-0.28,5.24
V23,9,0.12806,0,0.24
V24,1,0.15244,-0.61,0.6
V24,2,0.16497,0.35,0.38
V24,3,0.11557,-0.05,0.52
V24,4,0.15424,-0.48,0.73
V24,5,0.12733,0.15,0.43
V24,6,0.1422,0.25,0.4
V24,7,0.14324,0.26,0.4
V25,1,0.17806,0.03,0.45
V25,2,0.17875,0.05,0.43
V25,3,0.17406,0.01,0.46
V25,4,0.12282,-0.27,0.99
V25,5,0.17894,0.04,0.44
V25,6,0.16737,-0.06,0.49
V26,1,0.11969,0.19,0.52
V26,2,0.11085,0.06,0.51
V26,3,0.11057,-0.01,0.49
V26,4,0.16417,-0.22,0.25
V26,5,0.11875,-0.16,0.34
V26,6,0.11226,-0.09,0.44
V26,7,0.12109,-0.17,0.33
V26,8,0.14264,0.45,0.57
V27,1,0.12901,0.06,0.24
V27,2,0.2572,-0.01,0.05
V27,3,0.13268,0.09,0.18
V27,4,0.19491,-0.01,0.06
V27,5,0.13765,-0.1,0.58
V27,6,0.02188,-0.4,2.19
V27,7,0.12667,0.03,0.26
V28,1,0.11861,-0.15,0.45
V28,2,0.12134,0.02,0.07
V28,3,0.12304,0.07,0.14
V28,4,0.24767,-0.01,0.04
V28,5,0.12603,0.08,0.12
V28,6,0.12104,0.06,0.11
V28,7,0.00903,-0.19,2.83
V28,8,0.13324,-0.03,0.19
